[22/12/2023 12:22:31.580]	0556f05d-4861-4353-9e90-5b98bf705293	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:22:33.853]	7502e60e-a28d-45bf-aedc-45b693835594	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 12:22:37.237]	4b58ac0b-cc2a-4e7f-aac8-bb8b8dcf570b	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:22:37.238]	96965e26-3c2e-4091-92cb-2995c62b9d4f	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:22:38.119]	c23853e7-ad19-450e-8558-df34ac532fb1	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 12:22:39.444]	21f51690-7455-49c0-b78d-3a3cd97c6fae	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:22:43.112]	93911c5d-56a8-473f-b694-6579889ad3af	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 12:22:44.811]	841d144e-63f9-4dd5-9adf-bca6da4df32c	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:22:44.813]	9d0b6755-63f7-438c-9bd1-110884ef5efc	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:23:45.226]	aea79087-8ca7-4c28-88dd-84cd5bb5c334	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 12:23:48.708]	0c5b55bb-206f-4a51-97a1-43f6f1ba2b0a	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:23:48.709]	3a00b158-2507-4138-9d12-6847239e5c1c	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:29:52.515]	812272c2-977d-4325-9d0d-f9d971d25563	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 12:29:54.051]	c63c2073-5f16-4f67-8b28-9b03ceef19dd	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:29:54.052]	b0bb4b51-ee61-4c34-b1c8-63ca74d3b82a	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:30:42.772]	9e56801f-7979-47fc-b961-8e6292a231be	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:30:42.773]	56ff972b-a09a-4c1a-be15-5d12dd56e226	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:33:25.280]	39d5d732-73ea-48e7-b933-e7b81f38178a	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:33:25.282]	7eaa987c-bb01-4a12-96ac-1968a5ca0994	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:34:38.044]	d2ca97ee-a839-4936-806c-0fd54e1dda4b	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:34:38.046]	7988a8a3-255c-438d-9307-129a1410cc4d	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:40:26.140]	a2e369c7-cae8-49ac-8c00-044494100a7c	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 12:40:26.142]	c4f2ad87-03c3-48d6-a35b-d852df2e2bc5	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
